Goal Mechanics,,
,,
Towns,Description,"Towns are the center of game life. Production, arenas, trade, events, quests, job promotions, etc. are all in town."
,Goal,Keeping players in central hubs encourages player interaction. Towns that level up that unlock higher level keywords.
,Challenges,Keeping it fresh and not stale. Keeping it easy and accessible. Not requiring players to travel all over town to do minor activities. Events would have to almost be on constant rotation and ?without FOMO?
"Fields / 
Dungeons",Description,"Players can access fields and dungeons from a portal in Town. Levels depend on Town level. Elements impact mob-types and loot. Dungeons have a higher than average level reward at the end, guaranteed, if you can clear the dungeon."
,Goal,"Allow players access to combat zones where they can engage in pvp, pve, and professions. Include some rare/unique fields/dungeons that use specific keyword combinations that have special scenes/traits."
,Challenges,"Ideally, non-randomized fields that match exact keyword entry. You use the same keyword? Same map, same loot placement, randomized loot. "
Professions,Description,"Players can grow/level up in various ""life trades."" These are the basis of the Player-run Economy. "
,Goal,Large number of professions that impact all facets of the game. 
,Challenges,Balance. Not making one profession infinitely better than others. Balancing between gathering and processing and crafting. Not creating an utterly useless profession.
Combat,Description,"Combat should be relatively fast paced. I don't want people in combat for longer than a few minutes, max, against a single boss target. Exception to the rule are world bosses, event bosses, etc."
,Goal,"Action-based combat, ideally. Targeted makes more sense than telegraphing, however. Controller based would actually be best, utilizing L1 and R1 to cycle skills, amounting to 8 possible equipped skills? Or limit to 4? And have L1 be social hot keys or items?"
,Challenges,"Balance, balance, balance."
Events,Description,"Monthly events in towns. They should offer combat, life skill, and general town participation challenges. That way, players who are playing passive characters can still participate in events."
,Goal,"I wonder if it's worth doing one event per town at a time? So like, January is Town 1, February Town 2, March Town 3, April Town 4, May Town 1, etc. If there are four towns, that's 3 events per town per year."
,Challenges,"Splitting events across towns can separate the playerbase and is also exclusive to higher level players at higher tiers. I'd have to have events include trade skills, combat skills, and town activities to keep it open for all players. Can all players enter any town, though? Or are towns level restricted?"
"Class 
Progress",Description,"Weapon-based/interaction-based exp pools that can be spent to spec into trees, SWG style. "
,Goal,"Make it so players are Adept Rogue by default. They can choose to spec solely into one field and get master classes, or spread across several classes."
,Challenges,"Scaling this in a way that permits visiting fields of higher level difficulty. I should find a way to make class pogress amount fo some sort of ""Combat Level"""
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
,Description,
,Goal,
,Challenges,
